Create worker:4770,0 restart 1 15:54:14
Create worker:4776,0 restart 2 15:54:14
Create worker:4790,0 restart 3 15:54:15
Create worker:4798,0 restart 4 15:54:15
Create worker:4813,0 restart 5 15:54:16
Create worker:4823,0 restart 6 15:54:16
Create worker:4835,0 restart 7 15:54:17
Create worker:4843,0 restart 8 15:54:17
Create worker:4853,0 restart 9 15:54:18
Create worker:4875,0 restart 10 15:54:19
Create worker:4891,0 restart 11 15:54:19
Create worker:4899,0 restart 12 15:54:20
Create worker:4916,0 restart 13 15:54:20
Create worker:4926,0 restart 14 15:54:21
Create worker:4955,0 restart 15 15:54:21
Create worker:4966,0 restart 16 15:54:22
Create worker:4983,0 restart 17 15:54:22
Create worker:5002,0 restart 18 15:54:23
Create worker:5013,0 restart 19 15:54:23
Create worker:5033,0 restart 20 15:54:24
worker:4790exited,0 restart 3 15:57:25
Create worker:6674,-1 restart 3 15:57:25
worker:4843exited,0 restart 8 16:00:53
Create worker:8320,-1 restart 8 16:00:53
worker:4835exited,0 restart 7 16:04:34
Create worker:9927,-1 restart 7 16:04:34
worker:5002exited,0 restart 18 16:05:11
Create worker:10176,-1 restart 18 16:05:11
worker:4891exited,0 restart 11 16:05:59
Create worker:10458,-1 restart 11 16:05:59
worker:9927exited,-1 restart 7 16:07:21
Create worker:11041,-1 restart 7 16:07:21
worker:6674exited,-1 restart 3 16:08:06
Create worker:11321,-1 restart 3 16:08:06
worker:4770exited,0 restart 1 16:14:13
Create worker:13502,-1 restart 1 16:14:13
worker:4926exited,0 restart 14 16:15:11
Create worker:13829,-1 restart 14 16:15:11
worker:11321exited,-1 restart 3 16:15:28
Create worker:13938,-1 restart 3 16:15:28
worker:11041exited,-1 restart 7 16:24:59
Create worker:16592,-1 restart 7 16:24:59
worker:4798exited,0 restart 4 16:27:24
Create worker:17268,-1 restart 4 16:27:24
worker:10176exited,-1 restart 18 16:33:32
Create worker:19017,-1 restart 18 16:33:32
worker:16592exited,-1 restart 7 16:37:08
Create worker:20236,-1 restart 7 16:37:08
worker:19017exited,-1 restart 18 16:47:07
Create worker:23634,-1 restart 18 16:47:07
worker:4875exited,0 restart 10 16:48:50
Create worker:24128,-1 restart 10 16:48:50
worker:13502exited,-1 restart 1 16:49:03
Create worker:24171,-1 restart 1 16:49:03
worker:23634exited,-1 restart 18 16:55:19
Create worker:26297,-1 restart 18 16:55:19
worker:8320exited,-1 restart 8 16:57:53
Create worker:27020,-1 restart 8 16:57:53
worker:4899exited,0 restart 12 17:01:21
Create worker:28099,-1 restart 12 17:01:21
worker:26297exited,-1 restart 18 17:09:03
Create worker:30414,-1 restart 18 17:09:03
worker:10458exited,-1 restart 11 17:14:40
Create worker:32200,-1 restart 11 17:14:40
worker:4955exited,0 restart 15 17:18:48
Create worker:977,-1 restart 15 17:18:48
worker:4983exited,0 restart 17 17:24:21
Create worker:2852,-1 restart 17 17:24:21
worker:4966exited,0 restart 16 17:26:38
Create worker:3621,-1 restart 16 17:26:38
worker:4916exited,0 restart 13 17:27:41
Create worker:3896,-1 restart 13 17:27:41
worker:2852exited,-1 restart 17 17:33:36
Create worker:5976,-1 restart 17 17:33:36
worker:13938exited,-1 restart 3 17:45:14
Create worker:9810,-1 restart 3 17:45:14
worker:977exited,-1 restart 15 17:53:51
Create worker:12564,-1 restart 15 17:53:51
worker:4776exited,0 restart 2 17:56:36
Create worker:13439,-1 restart 2 17:56:36
worker:13829exited,-1 restart 14 17:59:48
Create worker:14380,-1 restart 14 17:59:48
worker:12564exited,-1 restart 15 18:01:06
Create worker:14772,-1 restart 15 18:01:06
worker:24128exited,-1 restart 10 18:02:32
Create worker:15209,-1 restart 10 18:02:32
worker:13439exited,-1 restart 2 18:08:16
Create worker:17142,-1 restart 2 18:08:16
worker:30414exited,-1 restart 18 18:11:41
Create worker:18366,-1 restart 18 18:11:41
worker:3896exited,-1 restart 13 18:22:01
Create worker:21569,-1 restart 13 18:22:01
worker:14380exited,-1 restart 14 18:24:11
Create worker:22194,-1 restart 14 18:24:11
worker:5033exited,0 restart 20 18:26:43
Create worker:22925,-1 restart 20 18:26:43
worker:17268exited,-1 restart 4 18:34:49
Create worker:25444,-1 restart 4 18:34:49
worker:24171exited,-1 restart 1 18:39:38
Create worker:26908,-1 restart 1 18:39:38
worker:22925exited,-1 restart 20 18:44:47
Create worker:28585,-1 restart 20 18:44:47
worker:22194exited,-1 restart 14 18:46:51
Create worker:29330,-1 restart 14 18:46:51
worker:25444exited,-1 restart 4 18:47:09
Create worker:29466,-1 restart 4 18:47:09
worker:5976exited,-1 restart 17 18:54:29
Create worker:31906,-1 restart 17 18:54:29
worker:21569exited,-1 restart 13 18:56:30
Create worker:32503,-1 restart 13 18:56:30
worker:4853exited,0 restart 9 18:57:24
Create worker:396,-1 restart 9 18:57:24
worker:20236exited,-1 restart 7 18:57:39
Create worker:460,-1 restart 7 18:57:39
worker:28099exited,-1 restart 12 18:59:58
Create worker:1163,-1 restart 12 18:59:58
worker:3621exited,-1 restart 16 19:08:15
Create worker:4427,-1 restart 16 19:08:15
worker:28585exited,-1 restart 20 19:13:29
Create worker:5994,-1 restart 20 19:13:29
worker:4813exited,0 restart 5 19:28:43
Create worker:10460,-1 restart 5 19:28:43
worker:5994exited,-1 restart 20 19:28:51
Create worker:10495,-1 restart 20 19:28:51
worker:10495exited,-1 restart 20 19:31:34
Create worker:11305,-1 restart 20 19:31:34
worker:27020exited,-1 restart 8 19:38:12
Create worker:13230,-1 restart 8 19:38:12
worker:4823exited,0 restart 6 19:39:46
Create worker:13656,-1 restart 6 19:39:46
worker:11305exited,-1 restart 20 19:46:25
Create worker:15546,-1 restart 20 19:46:26
worker:29330exited,-1 restart 14 19:56:00
Create worker:18630,-1 restart 14 19:56:00
worker:18630exited,-1 restart 14 19:59:04
Create worker:19551,-1 restart 14 19:59:04
worker:13230exited,-1 restart 8 20:01:54
Create worker:20381,-1 restart 8 20:01:54
worker:10460exited,-1 restart 5 20:03:04
Create worker:20706,-1 restart 5 20:03:04
worker:20706exited,-1 restart 5 20:05:05
Create worker:21275,-1 restart 5 20:05:05
worker:19551exited,-1 restart 14 20:07:32
Create worker:21991,-1 restart 14 20:07:32
worker:20381exited,-1 restart 8 20:07:54
Create worker:22070,-1 restart 8 20:07:54
worker:32503exited,-1 restart 13 20:10:53
Create worker:22877,-1 restart 13 20:10:53
worker:14772exited,-1 restart 15 20:15:31
Create worker:24203,-1 restart 15 20:15:31
worker:15546exited,-1 restart 20 20:15:46
Create worker:24233,-1 restart 20 20:15:46
worker:22877exited,-1 restart 13 20:17:06
Create worker:24589,-1 restart 13 20:17:06
worker:5013exited,0 restart 19 20:32:47
Create worker:29663,-1 restart 19 20:32:47
worker:24203exited,-1 restart 15 20:34:41
Create worker:30163,-1 restart 15 20:34:41
worker:9810exited,-1 restart 3 20:40:49
Create worker:32256,-1 restart 3 20:40:49
worker:21991exited,-1 restart 14 20:41:17
Create worker:32373,-1 restart 14 20:41:17
worker:24233exited,-1 restart 20 20:49:18
Create worker:2621,-1 restart 20 20:49:18
worker:30163exited,-1 restart 15 20:51:21
Create worker:3261,-1 restart 15 20:51:21
worker:32256exited,-1 restart 3 20:51:39
Create worker:3402,-1 restart 3 20:51:39
worker:29663exited,-1 restart 19 20:53:09
Create worker:3895,-1 restart 19 20:53:09
worker:3402exited,-1 restart 3 21:03:06
Create worker:7107,-1 restart 3 21:03:06
worker:18366exited,-1 restart 18 21:05:28
Create worker:7767,-1 restart 18 21:05:28
worker:32373exited,-1 restart 14 21:08:26
Create worker:8472,-1 restart 14 21:08:26
worker:2621exited,-1 restart 20 21:18:58
Create worker:11934,-1 restart 20 21:18:58
worker:11934exited,-1 restart 20 21:22:17
Create worker:13054,-1 restart 20 21:22:17
worker:15209exited,-1 restart 10 21:22:35
Create worker:13162,-1 restart 10 21:22:35
worker:29466exited,-1 restart 4 21:22:49
Create worker:13201,-1 restart 4 21:22:49
worker:31906exited,-1 restart 17 21:25:07
Create worker:13883,-1 restart 17 21:25:07
worker:26908exited,-1 restart 1 21:26:23
Create worker:14290,-1 restart 1 21:26:23
worker:32200exited,-1 restart 11 21:31:22
Create worker:16117,-1 restart 11 21:31:22
worker:7107exited,-1 restart 3 21:35:35
Create worker:17384,-1 restart 3 21:35:35
worker:7767exited,-1 restart 18 21:39:41
Create worker:18616,-1 restart 18 21:39:41
worker:13054exited,-1 restart 20 21:42:26
Create worker:19485,-1 restart 20 21:42:26
worker:4427exited,-1 restart 16 21:44:23
Create worker:20038,-1 restart 16 21:44:23
worker:8472exited,-1 restart 14 21:45:14
Create worker:20257,-1 restart 14 21:45:14
worker:16117exited,-1 restart 11 21:48:36
Create worker:21311,-1 restart 11 21:48:36
worker:396exited,-1 restart 9 21:50:27
Create worker:21994,-1 restart 9 21:50:27
worker:13201exited,-1 restart 4 21:51:31
Create worker:22325,-1 restart 4 21:51:31
worker:20257exited,-1 restart 14 21:53:43
Create worker:23109,-1 restart 14 21:53:43
worker:13656exited,-1 restart 6 21:56:52
Create worker:24156,-1 restart 6 21:56:52
worker:17384exited,-1 restart 3 21:59:30
Create worker:24874,-1 restart 3 21:59:30
worker:22325exited,-1 restart 4 21:59:30
Create worker:24876,-1 restart 4 21:59:30
worker:23109exited,-1 restart 14 22:05:24
Create worker:26959,-1 restart 14 22:05:24
worker:1163exited,-1 restart 12 22:05:41
Create worker:27061,-1 restart 12 22:05:41
worker:18616exited,-1 restart 18 22:06:48
Create worker:27353,-1 restart 18 22:06:48
worker:21311exited,-1 restart 11 22:07:07
Create worker:27446,-1 restart 11 22:07:07
worker:22070exited,-1 restart 8 22:08:00
Create worker:27726,-1 restart 8 22:08:00
worker:27061exited,-1 restart 12 22:10:17
Create worker:28485,-1 restart 12 22:10:17
worker:17142exited,-1 restart 2 22:13:03
Create worker:29534,-1 restart 2 22:13:03
worker:24589exited,-1 restart 13 22:13:48
Create worker:29701,-1 restart 13 22:13:48
worker:21994exited,-1 restart 9 22:18:12
Create worker:31027,-1 restart 9 22:18:12
worker:14290exited,-1 restart 1 22:18:25
Create worker:31083,-1 restart 1 22:18:25
worker:31083exited,-1 restart 1 22:20:28
Create worker:31715,-1 restart 1 22:20:28
worker:24874exited,-1 restart 3 22:24:16
Create worker:414,-1 restart 3 22:24:16
worker:28485exited,-1 restart 12 22:26:17
Create worker:962,-1 restart 12 22:26:17
worker:21275exited,-1 restart 5 22:27:27
Create worker:1354,-1 restart 5 22:27:27
worker:31027exited,-1 restart 9 22:28:07
Create worker:1563,-1 restart 9 22:28:07
worker:962exited,-1 restart 12 22:31:10
Create worker:2638,-1 restart 12 22:31:10
worker:26959exited,-1 restart 14 22:31:44
Create worker:2824,-1 restart 14 22:31:44
worker:19485exited,-1 restart 20 22:37:04
Create worker:4424,-1 restart 20 22:37:04
worker:1563exited,-1 restart 9 22:37:08
Create worker:4455,-1 restart 9 22:37:08
worker:29534exited,-1 restart 2 22:39:45
Create worker:5302,-1 restart 2 22:39:45
worker:4424exited,-1 restart 20 22:42:13
Create worker:6017,-1 restart 20 22:42:13
worker:5302exited,-1 restart 2 22:47:02
Create worker:7596,-1 restart 2 22:47:02
worker:27353exited,-1 restart 18 22:52:51
Create worker:9398,-1 restart 18 22:52:51
worker:31715exited,-1 restart 1 22:53:43
Create worker:9656,-1 restart 1 22:53:43
worker:414exited,-1 restart 3 22:57:26
Create worker:10856,-1 restart 3 22:57:26
worker:9398exited,-1 restart 18 22:58:13
Create worker:11115,-1 restart 18 22:58:13
worker:460exited,-1 restart 7 23:00:15
Create worker:11909,-1 restart 7 23:00:15
worker:10856exited,-1 restart 3 23:02:44
Create worker:12711,-1 restart 3 23:02:44
worker:13883exited,-1 restart 17 23:04:31
Create worker:13217,-1 restart 17 23:04:31
worker:6017exited,-1 restart 20 23:07:39
Create worker:14296,-1 restart 20 23:07:39
worker:3895exited,-1 restart 19 23:14:13
Create worker:16358,-1 restart 19 23:14:13
worker:11115exited,-1 restart 18 23:14:14
Create worker:16364,-1 restart 18 23:14:14
worker:14296exited,-1 restart 20 23:21:17
Create worker:18606,-1 restart 20 23:21:17
worker:13217exited,-1 restart 17 23:24:42
Create worker:19600,-1 restart 17 23:24:42
worker:9656exited,-1 restart 1 23:26:50
Create worker:20267,-1 restart 1 23:26:50
worker:12711exited,-1 restart 3 23:32:52
Create worker:22072,-1 restart 3 23:32:52
worker:11909exited,-1 restart 7 23:34:18
Create worker:22511,-1 restart 7 23:34:18
worker:16364exited,-1 restart 18 23:36:36
Create worker:23234,-1 restart 18 23:36:36
worker:24156exited,-1 restart 6 23:45:42
Create worker:26046,-1 restart 6 23:45:42
worker:22511exited,-1 restart 7 23:46:08
Create worker:26119,-1 restart 7 23:46:08
worker:13162exited,-1 restart 10 23:52:40
Create worker:28199,-1 restart 10 23:52:40
worker:20267exited,-1 restart 1 23:54:58
Create worker:28948,-1 restart 1 23:54:58
worker:27726exited,-1 restart 8 23:55:00
Create worker:28966,-1 restart 8 23:55:00
worker:28966exited,-1 restart 8 23:59:45
Create worker:30443,-1 restart 8 23:59:45
worker:26119exited,-1 restart 7 00:00:05
Create worker:30569,-1 restart 7 00:00:05
worker:23234exited,-1 restart 18 00:02:27
Create worker:31325,-1 restart 18 00:02:27
worker:29701exited,-1 restart 13 00:03:02
Create worker:31512,-1 restart 13 00:03:02
worker:30443exited,-1 restart 8 00:05:26
Create worker:32289,-1 restart 8 00:05:26
worker:1354exited,-1 restart 5 00:07:05
Create worker:32743,-1 restart 5 00:07:05
worker:19600exited,-1 restart 17 00:19:45
Create worker:4155,-1 restart 17 00:19:45
worker:28199exited,-1 restart 10 00:33:19
Create worker:8131,-1 restart 10 00:33:19
worker:4155exited,-1 restart 17 00:35:12
Create worker:8650,-1 restart 17 00:35:12
worker:20038exited,-1 restart 16 00:35:12
Create worker:8661,-1 restart 16 00:35:12
worker:8661exited,-1 restart 16 00:38:17
Create worker:9538,-1 restart 16 00:38:17
worker:8650exited,-1 restart 17 00:40:00
Create worker:9979,-1 restart 17 00:40:00
worker:2824exited,-1 restart 14 00:40:09
Create worker:10045,-1 restart 14 00:40:09
worker:9538exited,-1 restart 16 00:43:12
Create worker:10871,-1 restart 16 00:43:12
worker:8131exited,-1 restart 10 00:46:43
Create worker:11857,-1 restart 10 00:46:43
worker:22072exited,-1 restart 3 00:47:37
Create worker:12121,-1 restart 3 00:47:37
worker:24876exited,-1 restart 4 00:48:21
Create worker:12320,-1 restart 4 00:48:21
worker:12121exited,-1 restart 3 00:52:32
Create worker:13430,-1 restart 3 00:52:32
worker:11857exited,-1 restart 10 00:58:16
Create worker:14988,-1 restart 10 00:58:16
worker:4455exited,-1 restart 9 00:58:26
Create worker:15036,-1 restart 9 00:58:26
worker:13430exited,-1 restart 3 00:59:29
Create worker:15304,-1 restart 3 00:59:29
worker:30569exited,-1 restart 7 01:01:14
Create worker:15793,-1 restart 7 01:01:14
worker:15304exited,-1 restart 3 01:03:23
Create worker:16396,-1 restart 3 01:03:23
worker:7596exited,-1 restart 2 01:06:40
Create worker:17313,-1 restart 2 01:06:40
worker:16396exited,-1 restart 3 01:09:44
Create worker:18008,-1 restart 3 01:09:44
worker:10045exited,-1 restart 14 01:11:03
Create worker:18398,-1 restart 14 01:11:03
worker:9979exited,-1 restart 17 01:17:16
Create worker:19983,-1 restart 17 01:17:16
worker:26046exited,-1 restart 6 01:17:45
Create worker:20144,-1 restart 6 01:17:45
worker:18008exited,-1 restart 3 01:18:09
Create worker:20236,-1 restart 3 01:18:09
worker:31512exited,-1 restart 13 01:18:20
Create worker:20282,-1 restart 13 01:18:20
worker:10871exited,-1 restart 16 01:23:19
Create worker:21528,-1 restart 16 01:23:19
worker:15793exited,-1 restart 7 01:31:41
Create worker:23856,-1 restart 7 01:31:41
worker:23856exited,-1 restart 7 01:33:41
Create worker:24456,-1 restart 7 01:33:41
worker:16358exited,-1 restart 19 01:34:35
Create worker:24756,-1 restart 19 01:34:35
worker:2638exited,-1 restart 12 01:37:25
Create worker:25365,-1 restart 12 01:37:25
worker:18398exited,-1 restart 14 01:49:05
Create worker:28338,-1 restart 14 01:49:05
worker:17313exited,-1 restart 2 01:51:47
Create worker:29002,-1 restart 2 01:51:47
worker:19983exited,-1 restart 17 01:53:26
Create worker:29438,-1 restart 17 01:53:26
worker:28948exited,-1 restart 1 01:53:41
Create worker:29503,-1 restart 1 01:53:41
worker:29002exited,-1 restart 2 01:59:50
Create worker:30887,-1 restart 2 01:59:50
worker:18606exited,-1 restart 20 02:03:19
Create worker:31663,-1 restart 20 02:03:19
worker:24456exited,-1 restart 7 02:04:16
Create worker:31936,-1 restart 7 02:04:16
worker:29438exited,-1 restart 17 02:05:56
Create worker:32339,-1 restart 17 02:05:56
worker:15036exited,-1 restart 9 02:10:33
Create worker:1029,-1 restart 9 02:10:33
worker:12320exited,-1 restart 4 02:11:13
Create worker:1169,-1 restart 4 02:11:13
worker:27446exited,-1 restart 11 02:13:44
Create worker:1869,-1 restart 11 02:13:44
worker:32743exited,-1 restart 5 02:18:28
Create worker:3010,-1 restart 5 02:18:28
worker:24756exited,-1 restart 19 02:22:31
Create worker:3985,-1 restart 19 02:22:31
worker:20236exited,-1 restart 3 02:22:40
Create worker:4023,-1 restart 3 02:22:40
worker:32289exited,-1 restart 8 02:24:25
Create worker:4507,-1 restart 8 02:24:25
worker:21528exited,-1 restart 16 02:26:16
Create worker:5081,-1 restart 16 02:26:16
worker:31663exited,-1 restart 20 02:28:29
Create worker:5641,-1 restart 20 02:28:29
worker:4507exited,-1 restart 8 02:29:43
Create worker:5937,-1 restart 8 02:29:43
worker:3010exited,-1 restart 5 02:29:43
Create worker:5939,-1 restart 5 02:29:43
worker:31325exited,-1 restart 18 02:32:48
Create worker:6701,-1 restart 18 02:32:48
worker:28338exited,-1 restart 14 02:41:34
Create worker:8958,-1 restart 14 02:41:34
worker:5641exited,-1 restart 20 02:42:24
Create worker:9174,-1 restart 20 02:42:24
worker:5937exited,-1 restart 8 02:42:33
Create worker:9207,-1 restart 8 02:42:33
worker:3261exited,-1 restart 15 02:44:08
Create worker:9623,-1 restart 15 02:44:08
worker:5939exited,-1 restart 5 02:45:20
Create worker:9931,-1 restart 5 02:45:20
worker:9931exited,-1 restart 5 02:47:22
Create worker:10456,-1 restart 5 02:47:22
worker:8958exited,-1 restart 14 02:50:13
